STD_ZIP5,LATITUDE,LONGITUDE
53001,43.607474276,-88.03306104
53002,43.451490192,-88.35224317
53004,43.499564529,-87.85450015
53005,43.060939977,-88.09872171
53006,43.622382378,-88.50896866
53007,43.105578321,-88.07117457
53010,43.603053235,-88.27237054
53011,43.657082447,-88.05207908
53012,43.302008148,-88.00464146
53013,43.564307057,-87.82953807
53014,44.023898529,-88.18963884
53015,43.911085148,-87.76954166
53017,43.203501885,-88.24139915
53018,43.053356505,-88.39627868
53019,43.693151703,-88.33029097
53020,43.852923998,-87.98931834
53021,43.479689314,-87.98212438
53022,43.215259032,-88.11126605
53023,43.783293471,-88.09874926
53024,43.319963008,-87.94913505
53027,43.313308927,-88.36789849
53029,43.122505017,-88.34097168
53032,43.446628779,-88.63075128
53033,43.234447886,-88.23768488
53034,43.35267325,-88.60506238
53035,43.395876775,-88.54243481
53036,43.158974928,-88.578804
53037,43.320113457,-88.15953157
53038,43.076190817,-88.7792845
53039,43.392701465,-88.69808954
53040,43.5191192,-88.20565318
53042,43.928597339,-88.00148882
53044,43.740915555,-87.78767902
53045,43.060469698,-88.1472218
53046,43.148256131,-88.16701786
53048,43.587659466,-88.4537664
53049,43.875394515,-88.31492968
53050,43.499845311,-88.5458407
53051,43.152138711,-88.11194436
53057,43.806379011,-88.25167654
53058,43.106297534,-88.40723407
53059,43.29704288,-88.51935103
53061,43.949711716,-88.09122169
53063,43.968830213,-87.79230588
53065,43.688383468,-88.56196226
53066,43.109343701,-88.48543557
53069,43.113504747,-88.43511342
53070,43.621290434,-87.79645134
53072,43.077542038,-88.26543775
53073,43.752265676,-87.98043731
53074,43.395416094,-87.88068301
53075,43.556950961,-87.97532694
53076,43.265306692,-88.21521506
53078,43.315538747,-88.45638723
53079,43.814424503,-88.18738199
53080,43.389532658,-87.95769446
53081,43.738586409,-87.72664935
53083,43.787728308,-87.75483304
53085,43.731343521,-87.82756693
53086,43.331751336,-88.28103626
53089,43.139444411,-88.23078592
53090,43.441916182,-88.17786033
53091,43.510477184,-88.45005261
53092,43.221794672,-87.95311181
53093,43.657323363,-87.93194952
53094,43.177757217,-88.72119866
53095,43.405260709,-88.18724931
53097,43.238181691,-88.00276098
53098,43.213227824,-88.71456367
53099,43.3933,-88.5546
53103,42.889501046,-88.2112759
53104,42.536208281,-88.04543429
53105,42.663411034,-88.27461362
53108,42.823121084,-87.94329462
53110,42.947584046,-87.86207158
53114,42.601721903,-88.72289631
53115,42.630169884,-88.64196929
53118,42.987455726,-88.47152725
53119,42.87331214,-88.46705586
53120,42.800451713,-88.40178799
53121,42.703955319,-88.54637131
53122,43.047049464,-88.08611845
53125,42.542859335,-88.5647735
53126,42.78094578,-87.96957878
53128,42.527719575,-88.3371433
53129,42.938478834,-87.99585036
53130,42.940116524,-88.05005815
53132,42.901650047,-88.0053201
53137,43.00091757,-88.66820983
53139,42.692857334,-88.12069311
53140,42.607784962,-87.83063751
53142,42.56526964,-87.87730199
53143,42.563002781,-87.83063448
53144,42.608142244,-87.8678238
53146,42.972633395,-88.15594707
53147,42.588011168,-88.45631548
53149,42.876431798,-88.3460859
53150,42.90373924,-88.122996
53151,42.980786878,-88.09331379
53153,42.935984972,-88.40341999
53154,42.885346982,-87.90644461
53156,42.879778458,-88.59031989
53158,42.532426869,-87.87338613
53168,42.564889904,-88.11533134
53170,42.551828132,-88.1664933
53172,42.910515261,-87.86508779
53177,42.696883261,-87.90573475
53178,43.022202954,-88.59906408
53179,42.514939269,-88.12493006
53181,42.520871732,-88.25208098
53182,42.693943658,-88.04465443
53183,43.004665633,-88.3746158
53184,42.531375858,-88.59846803
53185,42.793447192,-88.19540143
53186,43.015550422,-88.20853548
53188,43.019754793,-88.26714993
53189,42.965838011,-88.26057079
53190,42.825021944,-88.73435777
53191,42.577661953,-88.54219274
53202,43.048226237,-87.89803401
53203,43.038556618,-87.91479211
53204,43.016603538,-87.92984006
53205,43.052636774,-87.93416767
53206,43.076703136,-87.93436641
53207,42.984495287,-87.8988149
53208,43.047685193,-87.96441811
53209,43.12224346,-87.94842386
53210,43.068852402,-87.97551925
53211,43.080044499,-87.88568283
53212,43.070164388,-87.90681434
53213,43.050018895,-88.0004122
53214,43.018520304,-88.01145795
53215,43.000805061,-87.9424973
53216,43.086142981,-87.97569154
53217,43.140489857,-87.90783668
53218,43.111732167,-87.99389627
53219,42.99593559,-87.99385452
53220,42.967676619,-87.99107119
53221,42.955806299,-87.94591446
53222,43.082626169,-88.02577196
53223,43.164463839,-87.98983499
53224,43.160980757,-88.03394542
53225,43.11417274,-88.03525326
53226,43.050401786,-88.04286308
53227,42.995114756,-88.03620559
53228,42.969231096,-88.0367815
53233,43.040887921,-87.93657616
53235,42.970587866,-87.8721643
53402,42.775106116,-87.79754723
53403,42.703783802,-87.80396896
53404,42.745493884,-87.80662448
53405,42.716681633,-87.82376514
53406,42.72697563,-87.85658289
53502,42.717994194,-89.44388197
53503,43.15444036,-89.93868394
53504,42.703406349,-89.85916769
53505,42.656415208,-88.82571959
53506,43.159060403,-90.29784933
53507,43.002708,-89.89653525
53508,42.856847701,-89.53734277
53510,42.736305715,-90.32642938
53511,42.525401117,-89.03670386
53515,43.130615646,-89.7478992
53516,42.810107511,-89.84058412
53517,43.023003946,-89.82641743
53518,43.231681547,-90.58584192
53520,42.614435611,-89.37432677
53521,42.84786153,-89.38905741
53522,42.562759536,-89.79022138
53523,42.99723122,-89.00990016
53525,42.558025496,-88.86861091
53526,42.969381361,-90.33614071
53527,43.083120461,-89.20158195
53528,43.113789511,-89.63947013
53529,43.2404799,-89.51255567
53530,42.68831698,-90.1093563
53531,43.055115929,-89.08951482
53532,43.239805665,-89.33850323
53533,42.971288557,-90.13656
53534,42.838766581,-89.05950168
53536,42.775779723,-89.28919665
53538,42.92344629,-88.84866425
53541,42.577613418,-90.02607585
53543,43.049529721,-90.36642172
53544,42.876803742,-89.91666035
53545,42.698733509,-89.00902277
53546,42.679605262,-88.9959177
53548,42.684466758,-89.05848067
53549,43.002233667,-88.80429373
53550,42.56277904,-89.49961501
53551,43.080946223,-88.90749926
53553,42.920545313,-90.27600764
53554,42.899516108,-90.44154242
53555,43.334429416,-89.55473559
53556,43.224609114,-90.23753449
53557,43.34454159,-88.80039289
53558,43.012677065,-89.29105925
53559,43.167414797,-89.0722369
53560,43.185303375,-89.7749176
53561,43.386903617,-89.64165302
53562,43.101366291,-89.50951307
53563,42.774981417,-88.9539519
53565,42.852749917,-90.17204655
53566,42.602440494,-89.6421955
53569,42.980465113,-90.43825483
53570,42.741228622,-89.61516129
53572,42.997513986,-89.73065342
53573,43.19574366,-90.44987957
53574,42.815283455,-89.6484798
