ObjectID,STD_ZIP5,LATITUDE,LONGITUDE,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,x,y
1,00601,18.161056093,-66.72754671,ADJUNTAS,PR,-66.72754671,18.1610560930001
2,00602,18.381223442,-67.18728825,AGUADA,PR,-67.1872882499999,18.3812234420001
3,00603,18.446765908,-67.15144614,AGUADILLA,PR,-67.15144614,18.446765908
4,00606,18.18078548,-66.97859604,MARICAO,PR,-66.97859604,18.1807854800001
5,00610,18.283854945,-67.14333494,ANASCO,PR,-67.14333494,18.283854945
6,00612,18.460594235,-66.73323434,ARECIBO,PR,-66.73323434,18.460594235
7,00616,18.4422,-66.6265,BAJADERO,PR,-66.6265,18.4422000000001
8,00617,18.445453815,-66.54056074,BARCELONETA,PR,-66.5405607399999,18.4454538150001
9,00622,18.033530496,-67.14677305,BOQUERON,PR,-67.14677305,18.033530496
10,00623,18.075763714,-67.15363793,CABO ROJO,PR,-67.1536379299999,18.0757637140001
11,00624,18.051915902,-66.72168212,PENUELAS,PR,-66.72168212,18.0519159020001
12,00627,18.482208602,-66.84789156,CAMUY,PR,-66.8478915599999,18.4822086020001
13,00637,18.07259497,-66.95575465,SABANA GRANDE,PR,-66.95575465,18.0725949700001
14,00638,18.338688258,-66.47169885,CIALES,PR,-66.4716988499999,18.338688258
15,00641,18.261007677,-66.70183871,UTUADO,PR,-66.7018387099999,18.2610076770001
16,00646,18.458877542,-66.26963409,DORADO,PR,-66.26963409,18.458877542
17,00647,17.970298334,-66.96112746,ENSENADA,PR,-66.9611274599999,17.9702983340001
18,00650,18.363019325,-66.56389722,FLORIDA,PR,-66.5638972199999,18.363019325
19,00652,18.467923636,-66.61430436,GARROCHALES,PR,-66.6143043599999,18.467923636
20,00653,17.972273178,-66.90700853,GUANICA,PR,-66.90700853,17.972273178
21,00656,18.023096093,-66.78937836,GUAYANILLA,PR,-66.7893783599999,18.023096093
22,00659,18.470731306,-66.82846991,HATILLO,PR,-66.82846991,18.4707313060001
23,00660,18.144742244,-67.13834537,HORMIGUEROS,PR,-67.13834537,18.144742244
24,00662,18.484525042,-67.02318043,ISABELA,PR,-67.02318043,18.484525042
25,00664,18.21110885,-66.58948559,JAYUYA,PR,-66.58948559,18.2111088500001
26,00667,18.041089583,-67.05401656,LAJAS,PR,-67.05401656,18.041089583
27,00669,18.29153187,-66.88208803,LARES,PR,-66.88208803,18.29153187
28,00670,18.219109758,-67.00400857,LAS MARIAS,PR,-67.0040085699999,18.2191097580001
29,00674,18.428381817,-66.4878272,MANATI,PR,-66.4878272,18.4283818170001
30,00676,18.394750502,-67.11513986,MOCA,PR,-67.1151398599999,18.394750502
31,00677,18.338148872,-67.24916523,RINCON,PR,-67.24916523,18.338148872
32,00678,18.470867426,-66.94161314,QUEBRADILLAS,PR,-66.94161314,18.470867426
33,00680,18.194288442,-67.13943709,MAYAGUEZ,PR,-67.1394370899999,18.1942884420001
34,00682,18.209598097,-67.15176729,MAYAGUEZ,PR,-67.15176729,18.209598097
35,00683,18.075568235,-67.04041138,SAN GERMAN,PR,-67.04041138,18.075568235
36,00685,18.33805529,-66.99181467,SAN SEBASTIAN,PR,-66.9918146699999,18.3380552900001
37,00687,18.344857933,-66.42374312,MOROVIS,PR,-66.42374312,18.3448579330001
38,00688,18.351086842,-66.62046594,SABANA HOYOS,PR,-66.62046594,18.351086842
39,00690,18.498595271,-67.10201235,SAN ANTONIO,PR,-67.1020123499999,18.4985952710001
40,00692,18.41577613,-66.32651197,VEGA ALTA,PR,-66.32651197,18.41577613
41,00693,18.452376247,-66.40074556,VEGA BAJA,PR,-66.40074556,18.4523762470001
42,00698,18.024348685,-66.85748244,YAUCO,PR,-66.85748244,18.0243486850001
43,00703,18.256787415,-66.10433262,AGUAS BUENAS,PR,-66.10433262,18.2567874150001
44,00704,17.972327642,-66.23011674,AGUIRRE,PR,-66.23011674,17.972327642
45,00705,18.138035843,-66.26362813,AIBONITO,PR,-66.26362813,18.1380358430001
46,00707,18.003414209,-65.89930734,MAUNABO,PR,-65.89930734,18.003414209
47,00714,17.972718731,-66.05047869,ARROYO,PR,-66.05047869,17.972718731
48,00715,18.012619306,-66.54840985,MERCEDITA,PR,-66.54840985,18.012619306
49,00716,17.999408819,-66.60938292,PONCE,PR,-66.60938292,17.9994088190001
50,00717,18.00303521,-66.61326958,PONCE,PR,-66.61326958,18.0030352100001
51,00718,18.210832299,-65.737394,NAGUABO,PR,-65.7373939999999,18.2108322990001
52,00719,18.282626357,-66.24067668,NARANJITO,PR,-66.24067668,18.282626357
53,00720,18.241489528,-66.38647906,OROCOVIS,PR,-66.3864790599999,18.241489528
54,00723,18.010898657,-66.00318144,PATILLAS,PR,-66.0031814399999,18.010898657
55,00725,18.239566645,-66.03292665,CAGUAS,PR,-66.03292665,18.239566645
56,00727,18.226765067,-66.05370184,CAGUAS,PR,-66.05370184,18.226765067
57,00728,18.011516756,-66.64316977,PONCE,PR,-66.64316977,18.011516756
58,00729,18.380300485,-65.89951743,CANOVANAS,PR,-65.8995174299999,18.3803004850001
59,00730,18.019244711,-66.61707672,PONCE,PR,-66.6170767199999,18.0192447110001
60,00731,18.074001177,-66.61800598,PONCE,PR,-66.61800598,18.0740011770001
61,00735,18.266707588,-65.64684694,CEIBA,PR,-65.6468469399999,18.266707588
62,00736,18.11617868,-66.1606785,CAYEY,PR,-66.1606785,18.1161786800001
63,00738,18.336704595,-65.65728771,FAJARDO,PR,-65.6572877099999,18.3367045950001
64,00739,18.173543455,-66.16092353,CIDRA,PR,-66.1609235299999,18.1735434550001
65,00740,18.329784747,-65.6355166,PUERTO REAL,PR,-65.6355166,18.3297847470001
66,00741,18.160788431,-65.75968088,PUNTA SANTIAGO,PR,-65.75968088,18.1607884310001
67,00745,18.379439565,-65.83319181,RIO GRANDE,PR,-65.83319181,18.379439565
68,00751,17.980688277,-66.29143754,SALINAS,PR,-66.2914375399999,17.9806882770001
69,00754,18.188199752,-65.96474768,SAN LORENZO,PR,-65.96474768,18.1881997520001
70,00757,17.969915519,-66.40250002,SANTA ISABEL,PR,-66.4025000199999,17.969915519
71,00765,18.145415074,-65.45110187,VIEQUES,PR,-65.4511018699999,18.145415074
72,00766,18.12816705,-66.49137242,VILLALBA,PR,-66.4913724199999,18.1281670500001
73,00767,18.054240827,-65.8672991,YABUCOA,PR,-65.8672991,18.0542408270001
74,00769,18.078139917,-66.35960862,COAMO,PR,-66.35960862,18.078139917
75,00771,18.187133349,-65.86118986,LAS PIEDRAS,PR,-65.86118986,18.1871333490001
76,00772,18.42794527,-65.87932088,LOIZA,PR,-65.87932088,18.4279452700001
77,00773,18.376859567,-65.72261541,LUQUILLO,PR,-65.7226154099999,18.3768595670001
78,00777,18.228699715,-65.92232764,JUNCOS,PR,-65.9223276399999,18.2286997150001
79,00778,18.254603187,-65.9715857,GURABO,PR,-65.9715856999999,18.254603187
80,00780,18.048040484,-66.54886662,COTO LAUREL,PR,-66.54886662,18.0480404840001
81,00782,18.216414674,-66.23349135,COMERIO,PR,-66.23349135,18.2164146740001
82,00783,18.339113228,-66.31854563,COROZAL,PR,-66.31854563,18.339113228
83,00784,17.978680483,-66.11824823,GUAYAMA,PR,-66.1182482299999,17.9786804830001
84,00791,18.147116704,-65.8276095,HUMACAO,PR,-65.8276094999999,18.147116704
85,00794,18.182598704,-66.30492175,BARRANQUITAS,PR,-66.3049217499999,18.182598704
86,00795,18.049237817,-66.50798847,JUANA DIAZ,PR,-66.50798847,18.0492378170001
87,00802,18.34028,-64.88556,ST THOMAS,VI,-64.8855599999999,18.3402800000001
88,00820,17.7475,-64.70389,CHRISTIANSTED,VI,-64.7038899999999,17.7475000000001
89,00830,18.34639,-64.74472,ST JOHN,VI,-64.74472,18.34639
90,00840,17.71333,-64.88222,FREDERIKSTED,VI,-64.88222,17.71333
91,00850,17.72556,-64.78333,KINGSHILL,VI,-64.78333,17.72556
92,00901,18.464929813,-66.10661332,SAN JUAN,PR,-66.10661332,18.464929813
93,00907,18.453118683,-66.07576123,SAN JUAN,PR,-66.07576123,18.4531186830001
94,00909,18.442917586,-66.06772334,SAN JUAN,PR,-66.06772334,18.4429175860001
95,00911,18.451548843,-66.05934718,SAN JUAN,PR,-66.05934718,18.4515488430001
96,00912,18.445477661,-66.0603366,SAN JUAN,PR,-66.0603366,18.445477661
97,00913,18.451658754,-66.0444932,SAN JUAN,PR,-66.0444932,18.4516587540001
98,00915,18.437366478,-66.04743412,SAN JUAN,PR,-66.0474341199999,18.4373664780001
99,00917,18.421356625,-66.04990342,SAN JUAN,PR,-66.04990342,18.421356625
100,00918,18.418234591,-66.06285405,SAN JUAN,PR,-66.0628540499999,18.418234591
101,00920,18.408827649,-66.09020194,SAN JUAN,PR,-66.09020194,18.408827649
102,00921,18.39291318,-66.08823993,SAN JUAN,PR,-66.08823993,18.3929131800001
103,00923,18.410544372,-66.0370433,SAN JUAN,PR,-66.0370432999999,18.4105443720001
104,00924,18.39846249,-66.01399529,SAN JUAN,PR,-66.01399529,18.39846249
105,00925,18.402376654,-66.05281062,SAN JUAN,PR,-66.0528106199999,18.402376654
106,00926,18.368680645,-66.05306047,SAN JUAN,PR,-66.0530604699999,18.368680645
107,00927,18.393123913,-66.06932075,SAN JUAN,PR,-66.06932075,18.3931239130001
108,00934,18.4186,-66.1162,FORT BUCHANAN,PR,-66.1161999999999,18.4186
109,00949,18.438622873,-66.19078364,TOA BAJA,PR,-66.1907836399999,18.438622873
110,00952,18.432638084,-66.18422889,SABANA SECA,PR,-66.18422889,18.4326380840001
111,00953,18.3875981,-66.2393968,TOA ALTA,PR,-66.2393968,18.3875981
112,00956,18.370648984,-66.1609758,BAYAMON,PR,-66.1609758,18.3706489840001
113,00957,18.371124989,-66.18544051,BAYAMON,PR,-66.18544051,18.3711249890001
114,00959,18.388515446,-66.1602013,BAYAMON,PR,-66.1602013,18.388515446
115,00961,18.409920469,-66.16423537,BAYAMON,PR,-66.16423537,18.409920469
116,00962,18.43754842,-66.13903821,CATANO,PR,-66.13903821,18.43754842
117,00965,18.431171188,-66.11621098,GUAYNABO,PR,-66.1162109799999,18.4311711880001
118,00966,18.399204846,-66.11390588,GUAYNABO,PR,-66.1139058799999,18.399204846
119,00968,18.406416356,-66.1012903,GUAYNABO,PR,-66.1012903,18.406416356
120,00969,18.368393394,-66.10739331,GUAYNABO,PR,-66.10739331,18.3683933940001
121,00971,18.358403639,-66.11042079,GUAYNABO,PR,-66.11042079,18.3584036390001
122,00976,18.361653403,-66.0142296,TRUJILLO ALTO,PR,-66.0142296,18.361653403
123,00979,18.438974619,-66.0214878,CAROLINA,PR,-66.0214878,18.4389746190001
124,00982,18.410518368,-65.99286734,CAROLINA,PR,-65.99286734,18.4105183680001
125,00983,18.416649025,-65.97563852,CAROLINA,PR,-65.97563852,18.416649025
126,00985,18.400721168,-65.95989481,CAROLINA,PR,-65.95989481,18.4007211680001
127,00987,18.363082008,-65.95884785,CAROLINA,PR,-65.95884785,18.363082008
128,01001,42.070402853,-72.62085822,AGAWAM,MA,-72.6208582199999,42.0704028530001
129,01002,42.373378632,-72.50926425,AMHERST,MA,-72.5092642499999,42.373378632
130,01005,42.412923482,-72.1124802,BARRE,MA,-72.1124801999999,42.4129234820001
131,01007,42.272155846,-72.40925805,BELCHERTOWN,MA,-72.4092580499999,42.272155846
132,01008,42.186045679,-72.94269719,BLANDFORD,MA,-72.9426971899999,42.1860456790001
133,01010,42.131761117,-72.20197193,BRIMFIELD,MA,-72.20197193,42.1317611170001
134,01011,42.288752068,-72.9621665,CHESTER,MA,-72.9621665,42.2887520680001
135,01012,42.376618964,-72.84032353,CHESTERFIELD,MA,-72.84032353,42.376618964
136,01013,42.16224746,-72.60807165,CHICOPEE,MA,-72.6080716499999,42.1622474600001
137,01020,42.176202314,-72.57555602,CHICOPEE,MA,-72.57555602,42.1762023140001
138,01022,42.193902088,-72.5598158,CHICOPEE,MA,-72.5598158,42.1939020880001
139,01026,42.466353048,-72.92043401,CUMMINGTON,MA,-72.92043401,42.466353048
140,01027,42.266253732,-72.67938106,EASTHAMPTON,MA,-72.67938106,42.2662537320001
141,01028,42.066267964,-72.50432091,EAST LONGMEADOW,MA,-72.5043209099999,42.0662679640001
142,01030,42.071447852,-72.67374527,FEEDING HILLS,MA,-72.67374527,42.0714478520001
143,01031,42.330560731,-72.18138036,GILBERTVILLE,MA,-72.1813803599999,42.330560731
144,01032,42.459385961,-72.82851684,GOSHEN,MA,-72.82851684,42.4593859610001
145,01033,42.256306939,-72.51803053,GRANBY,MA,-72.51803053,42.2563069390001
146,01034,42.067094974,-72.92580808,GRANVILLE,MA,-72.92580808,42.067094974
147,01035,42.360602042,-72.56952446,HADLEY,MA,-72.56952446,42.360602042
148,01036,42.066549646,-72.4292374,HAMPDEN,MA,-72.4292374,42.0665496460001
149,01038,42.378623303,-72.60891823,HATFIELD,MA,-72.60891823,42.378623303
150,01039,42.393003944,-72.68954507,HAYDENVILLE,MA,-72.68954507,42.393003944
151,01040,42.202461434,-72.62681131,HOLYOKE,MA,-72.6268113099999,42.202461434
152,01050,42.270776492,-72.86427865,HUNTINGTON,MA,-72.86427865,42.270776492
153,01053,42.350849905,-72.69981251,LEEDS,MA,-72.69981251,42.3508499050001
154,01054,42.469114095,-72.49725109,LEVERETT,MA,-72.49725109,42.4691140950001
155,01056,42.173605733,-72.4695423,LUDLOW,MA,-72.4695422999999,42.173605733
156,01057,42.098948457,-72.32241593,MONSON,MA,-72.32241593,42.0989484570001
157,01060,42.32416341,-72.6363244,NORTHAMPTON,MA,-72.6363244,42.32416341
158,01062,42.324971199,-72.67828219,FLORENCE,MA,-72.6782821899999,42.3249711990001
159,01068,42.349183262,-72.05363458,OAKHAM,MA,-72.0536345799999,42.3491832620001
160,01069,42.170272698,-72.32428986,PALMER,MA,-72.32428986,42.1702726980001
161,01070,42.515998761,-72.91961929,PLAINFIELD,MA,-72.91961929,42.515998761
162,01071,42.159741559,-72.85806447,RUSSELL,MA,-72.85806447,42.1597415590001
163,01072,42.465092589,-72.42754212,SHUTESBURY,MA,-72.4275421199999,42.4650925890001
164,01073,42.225585897,-72.7182489,SOUTHAMPTON,MA,-72.7182488999999,42.225585897
165,01075,42.235658785,-72.5834332,SOUTH HADLEY,MA,-72.5834331999999,42.2356587850001
166,01077,42.053782718,-72.77150895,SOUTHWICK,MA,-72.7715089499999,42.053782718
167,01080,42.181176065,-72.36280955,THREE RIVERS,MA,-72.36280955,42.181176065
168,01081,42.058635244,-72.22631277,WALES,MA,-72.2263127699999,42.0586352440001
169,01082,42.266860757,-72.25752815,WARE,MA,-72.25752815,42.2668607570001
170,01084,42.367769471,-72.88046509,WEST CHESTERFIELD,MA,-72.88046509,42.367769471
171,01085,42.127668672,-72.74934144,WESTFIELD,MA,-72.74934144,42.127668672
172,01088,42.385744306,-72.63826861,WEST HATFIELD,MA,-72.63826861,42.385744306
173,01089,42.115793187,-72.63983747,WEST SPRINGFIELD,MA,-72.63983747,42.1157931870001
174,01095,42.128096528,-72.44416112,WILBRAHAM,MA,-72.4441611199999,42.1280965280001
175,01096,42.407452133,-72.77006487,WILLIAMSBURG,MA,-72.7700648699999,42.407452133
176,01098,42.395224878,-72.93760374,WORTHINGTON,MA,-72.93760374,42.3952248780001
177,01103,42.10344439,-72.58817096,SPRINGFIELD,MA,-72.58817096,42.10344439
178,01104,42.128898744,-72.5775696,SPRINGFIELD,MA,-72.5775695999999,42.128898744
179,01105,42.101583953,-72.57826216,SPRINGFIELD,MA,-72.57826216,42.101583953
180,01106,42.051401668,-72.56654129,LONGMEADOW,MA,-72.56654129,42.051401668
181,01107,42.118911832,-72.60646618,SPRINGFIELD,MA,-72.60646618,42.118911832
182,01108,42.084968997,-72.55774163,SPRINGFIELD,MA,-72.55774163,42.084968997
183,01109,42.116679799,-72.55095351,SPRINGFIELD,MA,-72.5509535099999,42.1166797990001
184,01118,42.093060251,-72.52775884,SPRINGFIELD,MA,-72.5277588399999,42.0930602510001
185,01119,42.127384202,-72.51098446,SPRINGFIELD,MA,-72.51098446,42.127384202
186,01128,42.095750714,-72.4883511,SPRINGFIELD,MA,-72.4883511,42.0957507140001
187,01129,42.123874565,-72.48847851,SPRINGFIELD,MA,-72.4884785099999,42.1238745650001
188,01151,42.153456598,-72.50396928,INDIAN ORCHARD,MA,-72.50396928,42.153456598
